,instant,temp,hum,windspeed,cnt,season_2,season_3,season_4,holiday_1,weathersit_2,weathersit_3,year,day,month_sin,month_cos,weekday_sin,weekday_cos
682,683,0.343333,0.662917,0.342046,4094,False,False,True,False,True,False,2012,13,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
250,251,0.633913,0.939565,0.192748,1842,False,True,False,False,False,True,2011,8,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191
336,337,0.299167,0.612917,0.0957833,3614,False,False,True,False,False,False,2011,3,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
260,261,0.5075,0.695,0.178483,4274,False,True,False,False,False,False,2011,18,-1.0,-1.8369701987210297e-16,0.0,1.0
543,544,0.6975,0.36,0.271775,7335,False,True,False,False,False,False,2012,27,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419
136,137,0.561667,0.837917,0.277354,4123,True,False,False,False,True,False,2011,17,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434
215,216,0.71,0.7575,0.19715,4576,False,True,False,False,True,False,2011,4,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191
6,7,0.196522,0.498696,0.168726,1510,False,False,False,False,True,False,2011,7,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
323,324,0.463333,0.684583,0.18595,3520,False,False,True,False,True,False,2011,20,-0.5000000000000004,0.8660254037844384,0.0,1.0
398,399,0.313333,0.526667,0.178496,4151,False,False,False,False,False,False,2012,3,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
541,542,0.715833,0.504167,0.300383,6779,False,True,False,False,False,False,2012,25,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
291,292,0.541739,0.895217,0.243339,2424,False,False,True,False,False,True,2011,19,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
145,146,0.708333,0.6775,0.199642,4677,True,False,False,False,False,False,2011,26,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
482,483,0.4575,0.400833,0.347633,6233,True,False,False,False,False,False,2012,27,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146
132,133,0.5125,0.863333,0.179725,4105,True,False,False,False,True,False,2011,13,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146
311,312,0.408333,0.721667,0.0690375,4205,False,False,True,False,False,False,2011,8,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
698,699,0.28087,0.555652,0.115522,5323,False,False,True,False,False,False,2012,29,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
41,42,0.189091,0.506364,0.10855,1746,False,False,False,False,False,False,2011,11,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
108,109,0.505833,0.665833,0.157971,3204,True,False,False,False,True,False,2011,19,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434
439,440,0.5575,0.579583,0.149883,6192,False,False,False,False,False,False,2012,15,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
56,57,0.2825,0.537917,0.186571,1969,False,False,False,False,False,False,2011,26,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
333,334,0.325,0.613333,0.271158,3613,False,False,True,False,False,False,2011,30,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
208,209,0.779167,0.583333,0.178479,4390,False,True,False,False,False,False,2011,28,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
598,599,0.649167,0.67375,0.0727708,7006,False,True,False,False,False,False,2012,21,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434
594,595,0.723333,0.570833,0.231354,7148,False,True,False,False,False,False,2012,17,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146
24,25,0.223478,0.616957,0.129796,1985,False,False,False,False,True,False,2011,25,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
405,406,0.280833,0.54,0.116929,3831,False,False,False,False,True,False,2012,10,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
433,434,0.410833,0.407083,0.4148,4569,False,False,False,False,True,False,2012,9,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
464,465,0.489167,0.3175,0.358196,5585,True,False,False,False,False,False,2012,9,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
431,432,0.404167,0.513333,0.345779,4916,False,False,False,False,False,False,2012,7,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419
538,539,0.7775,0.57375,0.182842,5823,False,True,False,False,False,False,2012,22,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
110,111,0.459167,0.407083,0.325258,4189,True,False,False,False,False,False,2011,21,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191
82,83,0.285,0.805833,0.243787,1865,True,False,False,False,True,False,2011,24,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
51,52,0.303333,0.605,0.307846,1107,False,False,False,True,True,False,2011,21,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
522,523,0.554167,0.61125,0.077125,7055,True,False,False,False,False,False,2012,6,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419
585,586,0.75,0.672917,0.1107,7534,False,True,False,False,True,False,2012,8,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419
688,689,0.380833,0.623333,0.235067,5499,False,False,True,False,True,False,2012,19,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
649,650,0.435,0.463333,0.181596,7570,False,False,True,False,False,False,2012,11,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
525,526,0.710833,0.437083,0.144287,7498,True,False,False,False,False,False,2012,9,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334
367,368,0.15,0.44125,0.365671,2236,False,False,False,False,False,False,2012,3,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
689,690,0.374167,0.685,0.082725,5634,False,False,True,False,True,False,2012,20,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
18,19,0.292174,0.741739,0.208317,1650,False,False,False,False,True,False,2011,19,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
531,532,0.639167,0.589583,0.176617,7665,True,False,False,False,False,False,2012,15,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
411,412,0.316667,0.752917,0.091425,3005,False,False,False,False,True,False,2012,16,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
292,293,0.475833,0.63625,0.422275,4195,False,False,True,False,False,False,2011,20,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
481,482,0.498333,0.756667,0.176625,5026,True,False,False,False,True,False,2012,26,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191
83,84,0.264167,0.495,0.230725,2210,True,False,False,False,False,False,2011,25,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
61,62,0.198333,0.318333,0.225754,1685,False,False,False,False,False,False,2011,3,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
204,205,0.83,0.550833,0.169171,3606,False,True,False,False,False,False,2011,24,-0.4999999999999997,-0.8660254037844388,0.0,1.0
424,425,0.344348,0.804783,0.179117,1834,False,False,False,False,True,False,2012,29,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
29,30,0.216522,0.722174,0.0739826,1096,False,False,False,False,False,False,2011,30,0.49999999999999994,0.8660254037844387,0.0,1.0
231,232,0.6975,0.674167,0.104467,5191,False,True,False,False,False,False,2011,20,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334
213,214,0.783333,0.49125,0.20585,4845,False,True,False,False,False,False,2011,2,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434
487,488,0.564167,0.797083,0.138058,6169,True,False,False,False,False,False,2012,2,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
712,713,0.295833,0.485833,0.174129,5532,False,False,True,False,False,False,2012,13,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
182,183,0.738333,0.444583,0.115062,5119,False,True,False,False,False,False,2011,2,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334
626,627,0.623333,0.8725,0.357587,4073,False,True,False,False,True,False,2012,18,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
248,249,0.54,0.886957,0.343943,2710,False,True,False,False,False,True,2011,6,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
362,363,0.248333,0.574167,0.119412,2423,False,False,False,False,False,False,2011,29,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
664,665,0.545833,0.807083,0.132467,7444,False,False,True,False,True,False,2012,26,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
549,550,0.780833,0.492083,0.126237,6660,False,True,False,False,False,False,2012,3,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
654,655,0.468333,0.558333,0.182221,7534,False,False,True,False,False,False,2012,16,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
209,210,0.838333,0.5425,0.174138,3846,False,True,False,False,False,False,2011,29,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146
450,451,0.445833,0.477917,0.386821,5558,True,False,False,False,False,False,2012,26,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
408,409,0.2225,0.41125,0.167283,3422,False,False,False,False,False,False,2012,13,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
176,177,0.68,0.513333,0.0945333,5305,False,True,False,False,False,False,2011,26,1.2246467991473532e-16,-1.0,0.0,1.0
299,300,0.47,0.812917,0.197763,2659,False,False,True,False,True,False,2011,27,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
516,517,0.68,0.492917,0.195279,7338,True,False,False,False,False,False,2012,31,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
533,534,0.5925,0.59875,0.144904,6978,True,False,False,False,False,False,2012,17,1.2246467991473532e-16,-1.0,0.0,1.0
264,265,0.628333,0.902083,0.128125,4795,False,True,False,False,True,False,2011,22,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191
137,138,0.55,0.87,0.201492,3855,True,False,False,False,True,False,2011,18,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
223,224,0.708333,0.415,0.125621,4905,False,True,False,False,False,False,2011,12,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146
684,685,0.321667,0.620417,0.152987,5445,False,False,True,False,True,False,2012,15,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
685,686,0.345,0.524583,0.171025,5698,False,False,True,False,False,False,2012,16,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
163,164,0.635,0.494583,0.30535,5020,True,False,False,False,False,False,2011,13,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
394,395,0.269167,0.400833,0.215792,3624,False,False,False,False,False,False,2012,30,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
641,642,0.6575,0.79375,0.0665458,7572,False,False,True,False,True,False,2012,3,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
490,491,0.621667,0.756667,0.152992,6883,True,False,False,False,True,False,2012,5,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334
390,391,0.341667,0.769583,0.0733958,4075,False,False,False,False,True,False,2012,26,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
371,372,0.393333,0.531667,0.174758,4521,False,False,False,False,False,False,2012,7,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
334,335,0.3125,0.524583,0.220158,3727,False,False,True,False,False,False,2011,1,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
457,458,0.433913,0.504348,0.312139,5936,True,False,False,False,False,False,2012,2,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
104,105,0.446667,0.67125,0.226375,3126,True,False,False,True,False,False,2011,15,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146
114,115,0.606667,0.776667,0.185333,4073,True,False,False,False,False,False,2011,25,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
656,657,0.5225,0.728333,0.236937,7509,False,False,True,False,True,False,2012,18,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
239,240,0.707059,0.561765,0.304659,4334,False,True,False,False,False,False,2011,28,-0.8660254037844385,-0.5000000000000004,0.0,1.0
655,656,0.455833,0.692917,0.101371,7461,False,False,True,False,False,False,2012,17,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
294,295,0.4225,0.629167,0.0926667,4308,False,False,True,False,False,False,2011,22,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
92,93,0.378333,0.48,0.182213,3249,True,False,False,False,False,False,2011,3,0.8660254037844387,-0.4999999999999998,0.0,1.0
7,8,0.165,0.535833,0.266804,959,False,False,False,False,True,False,2011,8,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
89,90,0.268333,0.918333,0.217646,1685,True,False,False,False,False,True,2011,31,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
554,555,0.8225,0.57375,0.125629,4672,False,True,False,False,False,False,2012,8,-0.4999999999999997,-0.8660254037844388,0.0,1.0
393,394,0.2825,0.31125,0.24005,3243,False,False,False,False,False,False,2012,29,0.49999999999999994,0.8660254037844387,0.0,1.0
670,671,0.365833,0.581667,0.157346,5986,False,False,True,False,True,False,2012,1,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
677,678,0.352174,0.333478,0.347835,5315,False,False,True,False,False,False,2012,8,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
590,591,0.720833,0.545417,0.136212,6883,False,True,False,False,False,False,2012,13,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336
547,548,0.815833,0.51875,0.168529,5531,False,True,False,False,False,False,2012,1,-0.4999999999999997,-0.8660254037844388,0.0,1.0
420,421,0.290833,0.395833,0.421642,2732,False,False,False,False,False,False,2012,25,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
409,410,0.319167,0.50875,0.141179,3922,False,False,False,False,True,False,2012,14,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
11,12,0.172727,0.599545,0.304627,1162,False,False,False,False,False,False,2011,12,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
140,141,0.6025,0.626667,0.12065,5805,True,False,False,False,False,False,2011,21,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334
28,29,0.196522,0.651739,0.145365,1098,False,False,False,False,False,False,2011,29,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
43,44,0.316522,0.457391,0.260883,1589,False,False,False,False,False,False,2011,13,0.8660254037844386,0.5000000000000001,0.0,1.0
42,43,0.2225,0.544167,0.203367,1472,False,False,False,False,False,False,2011,12,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
73,74,0.317391,0.655652,0.184309,2056,False,False,False,False,True,False,2011,15,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
167,168,0.649167,0.735833,0.143029,4844,True,False,False,False,False,False,2011,17,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
603,604,0.653333,0.845833,0.228858,5255,False,True,False,False,True,False,2012,26,-0.8660254037844385,-0.5000000000000004,0.0,1.0
639,640,0.520833,0.649167,0.0908042,6778,False,False,True,False,True,False,2012,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
412,413,0.343333,0.634583,0.205846,4154,False,False,False,False,False,False,2012,17,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
178,179,0.744167,0.634167,0.144283,4648,False,True,False,False,False,False,2011,28,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434
453,454,0.494167,0.439167,0.31965,6133,True,False,False,False,False,False,2012,29,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
470,471,0.606667,0.507917,0.225129,7132,True,False,False,False,False,False,2012,15,0.8660254037844387,-0.4999999999999998,0.0,1.0
177,178,0.6825,0.658333,0.107588,4708,False,True,False,False,True,False,2011,27,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
665,666,0.53,0.72,0.235692,7852,False,False,True,False,True,False,2012,27,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
507,508,0.615,0.765833,0.118167,6073,True,False,False,False,True,False,2012,22,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434
257,258,0.5775,0.709167,0.271146,3659,False,True,False,False,True,False,2011,15,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191
296,297,0.463333,0.772083,0.118792,4187,False,False,True,False,False,False,2011,24,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
15,16,0.231667,0.48375,0.188433,1204,False,False,False,False,False,False,2011,16,0.49999999999999994,0.8660254037844387,0.0,1.0
428,429,0.325833,0.403333,0.334571,3423,False,False,False,False,False,False,2012,4,1.0,6.123233995736766e-17,0.0,1.0
256,257,0.673333,0.697083,0.1673,4785,False,True,False,False,False,False,2011,14,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419
582,583,0.769167,0.6525,0.290421,5464,False,True,False,False,False,False,2012,5,-0.8660254037844385,-0.5000000000000004,0.0,1.0
324,325,0.4475,0.91,0.138054,2765,False,False,True,False,False,True,2011,21,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
517,518,0.654167,0.755417,0.237563,4127,True,False,False,False,True,False,2012,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
529,530,0.655833,0.582083,0.343279,7421,True,False,False,False,False,False,2012,13,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419
346,347,0.2825,0.59,0.14055,3523,False,False,True,False,False,False,2011,13,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
281,282,0.540833,0.7275,0.06345,5511,False,False,True,False,False,False,2011,9,-0.8660254037844386,0.5000000000000001,0.0,1.0
381,382,0.373043,0.716087,0.34913,2935,False,False,False,False,True,False,2012,17,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
9,10,0.150833,0.482917,0.223267,1321,False,False,False,False,False,False,2011,10,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
249,250,0.599167,0.917083,0.0970208,1996,False,True,False,False,False,True,2011,7,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419
22,23,0.0965217,0.436522,0.2466,986,False,False,False,False,False,False,2011,23,0.49999999999999994,0.8660254037844387,0.0,1.0
221,222,0.766667,0.424167,0.200258,4780,False,True,False,False,False,False,2011,10,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419
483,484,0.376667,0.489583,0.129975,4220,True,False,False,False,True,False,2012,28,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334
715,716,0.3625,0.83875,0.100742,3786,False,False,True,False,True,False,2012,16,-2.4492935982947064e-16,1.0,0.0,1.0
416,417,0.287826,0.594348,0.205717,3777,False,False,False,False,False,False,2012,21,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
610,611,0.696667,0.815,0.0640708,5810,False,True,False,False,True,False,2012,2,-1.0,-1.8369701987210297e-16,0.0,1.0
203,204,0.849167,0.5,0.131221,3285,False,True,False,False,False,False,2011,23,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334
93,94,0.573333,0.42625,0.385571,3115,True,False,False,False,False,False,2011,4,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
332,333,0.458333,0.830833,0.258092,2914,False,False,True,False,True,False,2011,29,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
382,383,0.303333,0.443333,0.415429,3376,False,False,False,False,False,False,2012,18,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
